symbol,Name,Sector,Industry,MarketCap,SicCode,SicDescription,SubIndustry
ACGL,Arch Capital Group Ltd,Financials,"FIRE, MARINE & CASUALTY INSURANCE",34231888547.2,6331.0,"FIRE, MARINE & CASUALTY INSURANCE",Other
ACGLN,"Arch Capital Group Ltd. Depositary Shares, each Representing a 1/1,000th Interest in a 4.550% Non-Cumulative Preferred Share, Series G",Financials,"FIRE, MARINE & CASUALTY INSURANCE",,6331.0,"FIRE, MARINE & CASUALTY INSURANCE",Other
ACGLO,"Arch Capital Group Ltd. Depositary Shares Each Representing 1/1,000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares, Series F",Financials,"FIRE, MARINE & CASUALTY INSURANCE",,6331.0,"FIRE, MARINE & CASUALTY INSURANCE",Other
ACHC,"Acadia Healthcare Company, Inc.",Health Care,"SERVICES-SPECIALTY OUTPATIENT FACILITIES, NEC",1551119076.15,8093.0,"SERVICES-SPECIALTY OUTPATIENT FACILITIES, NEC",Health Care Providers & Services
ACHV,"Achieve Life Sciences, Inc.",Health Care,IN VITRO & IN VIVO DIAGNOSTIC SUBSTANCES,257652501.92,2835.0,IN VITRO & IN VIVO DIAGNOSTIC SUBSTANCES,Other
ACI,"Albertsons Companies, Inc.",Consumer Discretionary,RETAIL-GROCERY STORES,9964438594.2,5411.0,RETAIL-GROCERY STORES,Other
ACIC,American Coastal Insurance Corporation Common Stock,Financials,"FIRE, MARINE & CASUALTY INSURANCE",585183624.0,6331.0,"FIRE, MARINE & CASUALTY INSURANCE",Other
ACLS,Axcelis Technologies Inc,Industrials,"SPECIAL INDUSTRY MACHINERY, NEC",2545958793.29,3559.0,"SPECIAL INDUSTRY MACHINERY, NEC",Other
ACLX,"Arcellx, Inc. Common Stock",Health Care,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",4235525300.75,2836.0,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",Biotechnology
ACM,Aecom,Industrials,SERVICES-ENGINEERING SERVICES,13903143192.72,8711.0,SERVICES-ENGINEERING SERVICES,Other
ACN,Accenture PLC,Industrials,"SERVICES-BUSINESS SERVICES, NEC",153701424382.19998,7389.0,"SERVICES-BUSINESS SERVICES, NEC",Other
ACNB,ACNB Corp,Financials,STATE COMMERCIAL BANKS,508855788.0,6022.0,STATE COMMERCIAL BANKS,Banks
ACNT,Ascent Industries Co. Common Stock,Materials,CHEMICALS & ALLIED PRODUCTS,133916840.2,2800.0,CHEMICALS & ALLIED PRODUCTS,Other
ACOG,Alpha Cognition Inc. Common Stock,Health Care,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",132409413.36,2836.0,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",Biotechnology
ACON,"Aclarion, Inc. Common Stock",Health Care,SERVICES-MEDICAL LABORATORIES,4162500.2,8071.0,SERVICES-MEDICAL LABORATORIES,Other
ACP,abrdn Income Credit Strategies Fund,Industrials,,675032247.64,,,Other
ACRE,Ares Commercial Real Estate Corporation,Financials,REAL ESTATE INVESTMENT TRUSTS,288338613.72,6798.0,REAL ESTATE INVESTMENT TRUSTS,Asset Management & Custody
ACRS,"Aclaris Therapeutics, Inc.",Health Care,PHARMACEUTICAL PREPARATIONS,312034288.32,2834.0,PHARMACEUTICAL PREPARATIONS,Pharmaceuticals
ACRV,"Acrivon Therapeutics, Inc. Common Stock",Health Care,PHARMACEUTICAL PREPARATIONS,74470097.36,2834.0,PHARMACEUTICAL PREPARATIONS,Pharmaceuticals
ACT,"Enact Holdings, Inc. Common Stock",Financials,"INSURANCE AGENTS, BROKERS & SERVICE",5616995336.3,6411.0,"INSURANCE AGENTS, BROKERS & SERVICE",Other
ACTG,Acacia Research Corporation,Industrials,PATENT OWNERS & LESSORS,356903398.6,6794.0,PATENT OWNERS & LESSORS,Other
ACV,Virtus Diversified Income & Convertible Fund,Industrials,,267093349.38,,,Other
ACVA,ACV Auctions Inc.,Industrials,"SERVICES-BUSINESS SERVICES, NEC",1330883569.25,7389.0,"SERVICES-BUSINESS SERVICES, NEC",Other
ACXP,"Acurx Pharmaceuticals, Inc. Common Stock",Health Care,PHARMACEUTICAL PREPARATIONS,7820111.25,2834.0,PHARMACEUTICAL PREPARATIONS,Pharmaceuticals
AD,"Array Digital Infrastructure, Inc.",Communication Services,RADIOTELEPHONE COMMUNICATIONS,4154008284.93,4812.0,RADIOTELEPHONE COMMUNICATIONS,Other
ADAG,Adagene Inc. American Depositary Shares,Industrials,,99918292.4,,,Other
ADAM,"Adamas Trust, Inc. Common Stock",Financials,REAL ESTATE INVESTMENT TRUSTS,691757564.16,6798.0,REAL ESTATE INVESTMENT TRUSTS,Asset Management & Custody
ADAMG,"Adamas Trust, Inc. 9.125% Senior Notes Due 2030",Financials,REAL ESTATE INVESTMENT TRUSTS,,6798.0,REAL ESTATE INVESTMENT TRUSTS,Asset Management & Custody
ADAMH,"Adamas Trust, Inc. 9.875% Senior Notes Due 2030",Financials,REAL ESTATE INVESTMENT TRUSTS,,6798.0,REAL ESTATE INVESTMENT TRUSTS,Asset Management & Custody
ADAMI,"Adamas Trust, Inc. 9.125% Senior Notes Due 2029",Financials,REAL ESTATE INVESTMENT TRUSTS,,6798.0,REAL ESTATE INVESTMENT TRUSTS,Asset Management & Custody
ADAML,"Adamas Trust, Inc. 6.875% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock, $0.01 par value per share",Financials,REAL ESTATE INVESTMENT TRUSTS,,6798.0,REAL ESTATE INVESTMENT TRUSTS,Asset Management & Custody
ADAMM,"Adamas Trust, Inc. 7.875% Series E Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock",Financials,REAL ESTATE INVESTMENT TRUSTS,,6798.0,REAL ESTATE INVESTMENT TRUSTS,Asset Management & Custody
ADAMN,"Adamas Trust, Inc. 8.00% Series D Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock",Financials,REAL ESTATE INVESTMENT TRUSTS,,6798.0,REAL ESTATE INVESTMENT TRUSTS,Asset Management & Custody
ADAMZ,"Adamas Trust, Inc. 7.000% Series G Cumulative Redeemable Preferred Stock, $0.01 par value per share",Financials,REAL ESTATE INVESTMENT TRUSTS,,6798.0,REAL ESTATE INVESTMENT TRUSTS,Asset Management & Custody
ADBE,Adobe Inc.,Information Technology,SERVICES-PREPACKAGED SOFTWARE,132913872000.0,7372.0,SERVICES-PREPACKAGED SOFTWARE,Software
ADC,Agree Realty Corporation,Financials,REAL ESTATE INVESTMENT TRUSTS,8636170064.6,6798.0,REAL ESTATE INVESTMENT TRUSTS,Asset Management & Custody
ADCT,ADC Therapeutics SA,Health Care,PHARMACEUTICAL PREPARATIONS,536387890.63,2834.0,PHARMACEUTICAL PREPARATIONS,Pharmaceuticals
ADEA,Adeia Inc. Common Stock,Communication Services,CABLE & OTHER PAY TELEVISION SERVICES,1348070451.21,4841.0,CABLE & OTHER PAY TELEVISION SERVICES,Other
ADGM,"Adagio Medical Holdings, Inc Common Stock",Health Care,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,17790895.08,3841.0,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,Other
ADI,"Analog Devices, Inc.",Information Technology,SEMICONDUCTORS & RELATED DEVICES,126291584698.24,3674.0,SEMICONDUCTORS & RELATED DEVICES,Semiconductors
ADIL,"Adial Pharmaceuticals, Inc",Health Care,PHARMACEUTICAL PREPARATIONS,7436151.97,2834.0,PHARMACEUTICAL PREPARATIONS,Pharmaceuticals
ADM,Archer Daniels Midland Company,Energy,FATS & OILS,29098497454.25,2070.0,FATS & OILS,Other
ADMA,"ADMA Biologics, Inc.",Health Care,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",4555277222.1,2836.0,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",Biotechnology
ADNT,Adient plc Ordinary Shares,Consumer Discretionary,MOTOR VEHICLE PARTS & ACCESSORIES,1551369341.2,3714.0,MOTOR VEHICLE PARTS & ACCESSORIES,Other
ADP,Automatic Data Processing,Information Technology,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,102863449061.52,7374.0,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,Other
ADPT,Adaptive Biotechnologies Corporation Common Stock,Health Care,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",3010557507.36,2836.0,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",Biotechnology
ADSE,ADS-TEC ENERGY PLC Ordinary Shares,Industrials,,730488812.4,,,Other
ADSK,Autodesk Inc,Information Technology,SERVICES-PREPACKAGED SOFTWARE,63892560000.0,7372.0,SERVICES-PREPACKAGED SOFTWARE,Software
ADT,ADT Inc.,Industrials,"SERVICES-DETECTIVE, GUARD & ARMORED CAR SERVICES",6689263925.76,7381.0,"SERVICES-DETECTIVE, GUARD & ARMORED CAR SERVICES",Other
ADTN,"ADTRAN Holdings, Inc. Common Stock",Communication Services,TELEPHONE & TELEGRAPH APPARATUS,639325640.1,3661.0,TELEPHONE & TELEGRAPH APPARATUS,Other
ADTX,"Aditxt, Inc. Common Stock",Health Care,PHARMACEUTICAL PREPARATIONS,1756654.16,2834.0,PHARMACEUTICAL PREPARATIONS,Pharmaceuticals
ADUS,Addus HomeCare Corp.,Health Care,SERVICES-HOME HEALTH CARE SERVICES,2234997129.32,8082.0,SERVICES-HOME HEALTH CARE SERVICES,Health Care Providers & Services
ADV,Advantage Solutions Inc. Class A Common Stock,Industrials,"SERVICES-BUSINESS SERVICES, NEC",306597718.5255,7389.0,"SERVICES-BUSINESS SERVICES, NEC",Other
ADVB,Advanced Biomed Inc. Common Stock,Health Care,SERVICES-MEDICAL LABORATORIES,8987092.0,8071.0,SERVICES-MEDICAL LABORATORIES,Other
ADVM,"Adverum Biotechnologies, Inc. Common Stock",Health Care,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",91842262.72,2836.0,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",Biotechnology
ADX,"Adams Diversified Equity Fund, Inc",Industrials,,2714827825.0,,,Other
ADXN,Addex Therapeutics Ltd American Depositary Shares,Industrials,,9602213.4,,,Other
AEBI,Aebi Schmidt Holding AG Common Stock,Industrials,CONSTRUCTION MACHINERY & EQUIP,928101420.0,3531.0,CONSTRUCTION MACHINERY & EQUIP,Other
AEC,Anfield Energy Inc. Common Shares,Industrials,,104634458.17,,,Other
AEE,Ameren Corporation,Utilities,ELECTRIC & OTHER SERVICES COMBINED,28677870994.32,4931.0,ELECTRIC & OTHER SERVICES COMBINED,Other
AEF,"abrdn Emerging Markets ex-China Fund, Inc.",Industrials,,272029534.1,,,Other
AEFC,Aegon Funding Company LLC 5.10% Subordinated Notes due 2049,Industrials,,,,,Other
AEG,Aegon Ltd.,Industrials,,12372911897.34,,,Other
AEHL,Antelope Enterprise Holdings Limited Class A Ordinary Shares,Industrials,,17947096.78,,,Other
AEI,Alset Inc. Common Stock (TX),Real Estate,REAL ESTATE,106600398.7,6500.0,REAL ESTATE,Other
AEIS,Advanced Energy Industries Inc,Information Technology,"ELECTRONIC COMPONENTS, NEC",7922778141.1,3679.0,"ELECTRONIC COMPONENTS, NEC",Other
AEM,Agnico Eagle Mines Ltd.,Industrials,,86864096157.24,,,Other
AEMD,AETHLON MEDICAL INC,Health Care,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,3281280.58,3841.0,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,Other
AENT,Alliance Entertainment Holding Corporation Class A Common Stock,Industrials,"WHOLESALE-DURABLE GOODS, NEC",336318642.0,5099.0,"WHOLESALE-DURABLE GOODS, NEC",Other
AEO,American Eagle Outfitters,Consumer Discretionary,RETAIL-FAMILY CLOTHING STORES,3430804938.92,5651.0,RETAIL-FAMILY CLOTHING STORES,Other
AEON,"AEON Biopharma, Inc.",Health Care,PHARMACEUTICAL PREPARATIONS,9896941.692,2834.0,PHARMACEUTICAL PREPARATIONS,Pharmaceuticals
AEP,"American Electric Power Company, Inc.",Utilities,ELECTRIC SERVICES,65544080721.6,4911.0,ELECTRIC SERVICES,Other
AERO,"Grupo Aeromexico, S.A.B. de C.V. American Depositary Shares (each representing ten (10) Common Shares)",Industrials,,253748565.6,,,Other
AERT,"Aeries Technology, Inc. Class A Ordinary Share",Industrials,SERVICES-MANAGEMENT CONSULTING SERVICES,27719651.794,8742.0,SERVICES-MANAGEMENT CONSULTING SERVICES,Other
AES,AES Corporation,Utilities,COGENERATION SERVICES & SMALL POWER PRODUCERS,9905602331.04,4991.0,COGENERATION SERVICES & SMALL POWER PRODUCERS,Other
AESI,Atlas Energy Solutions Inc.,Energy,CRUDE PETROLEUM & NATURAL GAS,1034011297.8,1311.0,CRUDE PETROLEUM & NATURAL GAS,Other
AEVA,"Aeva Technologies, Inc.",Consumer Discretionary,MOTOR VEHICLE PARTS & ACCESSORIES,632641431.24,3714.0,MOTOR VEHICLE PARTS & ACCESSORIES,Other
AEXA,American Exceptionalism Acquisition Corp. A,Industrials,BLANK CHECKS,550497746.82,6770.0,BLANK CHECKS,Banks
AEYE,"AudioEye, Inc. Common Stock",Information Technology,SERVICES-PREPACKAGED SOFTWARE,152252244.42,7372.0,SERVICES-PREPACKAGED SOFTWARE,Software
AFB,"Alliance National Municipal Income Fund, Inc.",Industrials,,312170004.96,,,Other
AFBI,"Affinity Bancshares, Inc. Common Stock (MD)",Financials,"SAVINGS INSTITUTIONS, NOT FEDERALLY CHARTERED",121810139.5,6036.0,"SAVINGS INSTITUTIONS, NOT FEDERALLY CHARTERED",Other
AFCG,Advanced Flower Capital Inc. Common Stock,Real Estate,REAL ESTATE,65750114.31,6500.0,REAL ESTATE,Other
AFG,"American Financial Group, Inc.",Financials,"FIRE, MARINE & CASUALTY INSURANCE",11447974292.72,6331.0,"FIRE, MARINE & CASUALTY INSURANCE",Other
AFGB,"American Financial Group, Inc. 5.875% Subordinated Debentures due 2059",Financials,"FIRE, MARINE & CASUALTY INSURANCE",,6331.0,"FIRE, MARINE & CASUALTY INSURANCE",Other
AFGC,"American Financial Group, Inc. 5.125% Subordinated Debentures due 2059",Financials,"FIRE, MARINE & CASUALTY INSURANCE",,6331.0,"FIRE, MARINE & CASUALTY INSURANCE",Other
AFGD,"American Financial Group, Inc. 5.625% Subordinated Debentures due 2060",Financials,"FIRE, MARINE & CASUALTY INSURANCE",,6331.0,"FIRE, MARINE & CASUALTY INSURANCE",Other
AFGE,"American Financial Group, Inc. 4.500% Subordinated Debentures due 2060",Financials,"FIRE, MARINE & CASUALTY INSURANCE",,6331.0,"FIRE, MARINE & CASUALTY INSURANCE",Other
AFJK,"Aimei Health Technology Co., Ltd Ordinary Share",Industrials,BLANK CHECKS,71624276.1,6770.0,BLANK CHECKS,Banks
AFL,Aflac Inc.,Health Care,ACCIDENT & HEALTH INSURANCE,57940793524.35,6321.0,ACCIDENT & HEALTH INSURANCE,Other
AFRI,Forafric Global PLC Ordinary Shares,Industrials,,262290522.0,,,Other
AFRM,"Affirm Holdings, Inc. Class A Common Stock",Financials,PERSONAL CREDIT INSTITUTIONS,22709066294.4,6141.0,PERSONAL CREDIT INSTITUTIONS,Other
AFYA,Afya Limited Class A Common Shares,Industrials,,1359558747.85,,,Other
AG,FIRST MAJESTIC SILVER CORP,Industrials,,6620289560.849999,,,Other
AGAE,Allied Gaming & Entertainment Inc. Common Stock,Consumer Discretionary,SERVICES-AMUSEMENT & RECREATION SERVICES,15205772.0,7900.0,SERVICES-AMUSEMENT & RECREATION SERVICES,Other
AGCC,Agencia Comercial Spirits Ltd Class A Ordinary Shares,Industrials,,142514505.0,,,Other
AGCO,AGCO Corporation,Industrials,FARM MACHINERY & EQUIPMENT,7878756098.28,3523.0,FARM MACHINERY & EQUIPMENT,Other
AGD,abrdn Global Dynamic Dividend Fund,Industrials,,288082086.9,,,Other
AGEN,Agenus Inc.,Health Care,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",154737987.95,2836.0,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",Biotechnology
AGH,Aureus Greenway Holdings Inc. Common Stock,Consumer Discretionary,SERVICES-MEMBERSHIP SPORTS & RECREATION CLUBS,68205025.41,7997.0,SERVICES-MEMBERSHIP SPORTS & RECREATION CLUBS,Other
AGI,Alamos Gold Inc. Class A Common Shares,Industrials,,15468504791.04,,,Other
AGIO,"Agios Pharmaceuticals, Inc.",Health Care,PHARMACEUTICAL PREPARATIONS,1693433100.48,2834.0,PHARMACEUTICAL PREPARATIONS,Pharmaceuticals
AGL,"agilon health, inc.",Health Care,"SERVICES-MISC HEALTH & ALLIED SERVICES, NEC",275406559.5372,8090.0,"SERVICES-MISC HEALTH & ALLIED SERVICES, NEC",Other
AGM,Federal Agricultural Mortgage Corporation,Financials,FEDERAL & FEDERALLY-SPONSORED CREDIT AGENCIES,1883136614.87,6111.0,FEDERAL & FEDERALLY-SPONSORED CREDIT AGENCIES,Other
AGMH,AGM Group Holdings Inc. Class A Ordinary Shares,Industrials,,5664652.215000001,,,Other
AGNC,AGNC Investment Corp. Common Stock,Financials,REAL ESTATE INVESTMENT TRUSTS,11327966179.2,6798.0,REAL ESTATE INVESTMENT TRUSTS,Asset Management & Custody
AGNCL,"AGNC Investment Corp. Depositary Shares Each Representing a 1/1,000th Interest in a Share of 7.75% Series G Fixed-Rate Reset Cumulative Redeemable Preferred Stock",Financials,REAL ESTATE INVESTMENT TRUSTS,,6798.0,REAL ESTATE INVESTMENT TRUSTS,Asset Management & Custody
AGNCM,AGNC Investment Corp. Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,Financials,REAL ESTATE INVESTMENT TRUSTS,,6798.0,REAL ESTATE INVESTMENT TRUSTS,Asset Management & Custody
AGNCN,"AGNC Investment Corp. Depositary Shares Each Representing a 1/1,000th Interest in a Share of 7 percent Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock",Financials,REAL ESTATE INVESTMENT TRUSTS,,6798.0,REAL ESTATE INVESTMENT TRUSTS,Asset Management & Custody
AGNCO,"AGNC Investment Corp. Depositary Shares, each representing a 1/1,000th interest in a share of 6.50% Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock",Financials,REAL ESTATE INVESTMENT TRUSTS,,6798.0,REAL ESTATE INVESTMENT TRUSTS,Asset Management & Custody
AGNCP,"AGNC Investment Corp. Depositary Shares Each Representing a 1/1,000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock",Financials,REAL ESTATE INVESTMENT TRUSTS,,6798.0,REAL ESTATE INVESTMENT TRUSTS,Asset Management & Custody
AGNCZ,AGNC Investment Corp. 8.75% Series H Fixed-Rate Cumulative Redeemable Preferred Stock,Financials,REAL ESTATE INVESTMENT TRUSTS,,6798.0,REAL ESTATE INVESTMENT TRUSTS,Asset Management & Custody
AGO,"Assured Guaranty, LTD",Financials,SURETY INSURANCE,4152124004.75,6351.0,SURETY INSURANCE,Other
AGRO,ADECOAGRO S.A.,Industrials,,805695842.0000001,,,Other
AGRZ,Agroz Inc. Ordinary Shares,Industrials,,83442917.25,,,Other
AGX,"Argan, Inc",Industrials,CONSTRUCTION - SPECIAL TRADE CONTRACTORS,5256961676.5,1700.0,CONSTRUCTION - SPECIAL TRADE CONTRACTORS,Other
AGYS,"Agilysys, Inc. Common Stock (DE)",Information Technology,SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN,3525223680.68,7373.0,SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN,Other
AHCO,AdaptHealth Corp. Common Stock,Health Care,SERVICES-HOME HEALTH CARE SERVICES,1301427849.74,8082.0,SERVICES-HOME HEALTH CARE SERVICES,Health Care Providers & Services
AHG,Akso Health Group ADS,Industrials,,823801365.0,,,Other
