symbol,Name,Sector,Industry,MarketCap,SicCode,SicDescription,SubIndustry,market_cap_cache
ARES,Ares Management Corporation Class A Common Stock,Financials,INVESTMENT ADVICE,34053895355.7,6282.0,INVESTMENT ADVICE,Asset Management & Custody,36193418642.04
HIG,"The Hartford Insurance Group, Inc.",Financials,"FIRE, MARINE & CASUALTY INSURANCE",38283763617.88,6331.0,"FIRE, MARINE & CASUALTY INSURANCE",Other,36149302381.159996
ONC,BeOne Medicines Ltd. American Depositary Shares,Health Care,PHARMACEUTICAL PREPARATIONS,37694521703.52,2834.0,PHARMACEUTICAL PREPARATIONS,Pharmaceuticals,36128711810.07
KEYS,"Keysight Technologies, Inc.",Industrials,"INDUSTRIAL INSTRUMENTS FOR MEASUREMENT, DISPLAY, AND CONTROL",33598763491.31,3823.0,"INDUSTRIAL INSTRUMENTS FOR MEASUREMENT, DISPLAY, AND CONTROL",Other,35898734915.38
FISV,"Fiserv, Inc. Common Stock",Industrials,"SERVICES-BUSINESS SERVICES, NEC",32701394729.6,7389.0,"SERVICES-BUSINESS SERVICES, NEC",Other,35353004532.51
BBD,Banco Bradesco S.A. American Depositary Shares (Each representing one Preferred Shares),Industrials,,38923404263.04,,,Other,35327220173.52
UI,Ubiquiti Inc. Common Stock,Information Technology,RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT,34782461652.6,3663.0,RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT,Other,35190834323.85
FMX,"FOMENTO ECONOMICO MEXICANO, S.A.B. DE C.V.",Industrials,,32532327662.45,,,Other,34913078991.12
FIX,"Comfort Systems USA, Inc.",Utilities,ELECTRICAL WORK,34247299852.5,1731.0,ELECTRICAL WORK,Other,34900889086.0
SYY,Sysco Corporation,Industrials,WHOLESALE-GROCERIES & RELATED PRODUCTS,36345554150.4,5140.0,WHOLESALE-GROCERIES & RELATED PRODUCTS,Other,34817987381.759995
RYAAY,Ryanair Holdings plc American Depositary Shares,Industrials,,35960165244.0,,,Other,34748821035.83
STT,State Street Corporation,Financials,STATE COMMERCIAL BANKS,32863901219.76,6022.0,STATE COMMERCIAL BANKS,Banks,34654293934.52
STLA,Stellantis N.V.,Industrials,,29811631803.84,,,Other,34491364703.28
ED,"Consolidated Edison, Inc.",Utilities,ELECTRIC & OTHER SERVICES COMBINED,36144091785.12,4931.0,ELECTRIC & OTHER SERVICES COMBINED,Other,34451303783.6
ASX,"ASE Technology Holding Co., Ltd.",Industrials,,31415047070.4,,,Other,34338391728.34
CCL,Carnival Corporation,Utilities,WATER TRANSPORTATION,33393369915.2,4400.0,WATER TRANSPORTATION,Other,34154996126.4
FIS,"Fidelity National Information Services, Inc.",Industrials,"SERVICES-BUSINESS SERVICES, NEC",33857082950.32,7389.0,"SERVICES-BUSINESS SERVICES, NEC",Other,34116008332.319996
NOK,Nokia Corporation,Industrials,,33716546368.0,,,Other,34104730290.000004
MDB,"MongoDB, Inc. Class A",Information Technology,SERVICES-PREPACKAGED SOFTWARE,26544313479.11,7372.0,SERVICES-PREPACKAGED SOFTWARE,Software,34079543829.6
WEC,"WEC Energy Group, Inc.",Utilities,ELECTRIC & OTHER SERVICES COMBINED,36511026844.48,4931.0,ELECTRIC & OTHER SERVICES COMBINED,Other,34077825839.52
CVE,Cenovus Energy Inc.,Industrials,,33125231306.64,,,Other,33842064330.36
UAL,"United Airlines Holdings, Inc. Common Stock",Industrials,"AIR TRANSPORTATION, SCHEDULED",32888542302.51,4512.0,"AIR TRANSPORTATION, SCHEDULED",Other,33830619850.5
KMB,Kimberly-Clark Corp.,Materials,CONVERTED PAPER & PAPERBOARD PRODS (NO CONTANERS/BOXES),35936948410.090004,2670.0,CONVERTED PAPER & PAPERBOARD PRODS (NO CONTANERS/BOXES),Other,33799780178.85
XYL,Xylem Inc,Industrials,PUMPS & PUMPING EQUIPMENT,34358354170.56,3561.0,PUMPS & PUMPING EQUIPMENT,Other,33676640794.16
OTIS,Otis Worldwide Corporation,Information Technology,ELECTRONIC & OTHER ELECTRICAL EQUIPMENT (NO COMPUTER EQUIP),34517132923.07,3600.0,ELECTRONIC & OTHER ELECTRICAL EQUIPMENT (NO COMPUTER EQUIP),Other,33562329088.120003
NTRA,"Natera, Inc. Common Stock",Health Care,SERVICES-MEDICAL LABORATORIES,32725989940.8,8071.0,SERVICES-MEDICAL LABORATORIES,Other,33347862556.8
SOFI,"SoFi Technologies, Inc. Common Stock",Financials,FINANCE SERVICES,34356177723.56,6199.0,FINANCE SERVICES,Other,33294983044.84
MT,ArcelorMittal,Industrials,,32819890000.0,,,Other,33139342000.0
SNDK,Sandisk Corporation Common Stock,Information Technology,COMPUTER STORAGE DEVICES,31514795612.16,3572.0,COMPUTER STORAGE DEVICES,Other,33043345269.13
ACGL,Arch Capital Group Ltd,Financials,"FIRE, MARINE & CASUALTY INSURANCE",34231888547.2,6331.0,"FIRE, MARINE & CASUALTY INSURANCE",Other,32977202801.719997
PCG,PG&E Corporation,Utilities,ELECTRIC & OTHER SERVICES COMBINED,35188545904.25,4931.0,ELECTRIC & OTHER SERVICES COMBINED,Other,32836781749.5
SLF,Sun Life Financial Inc.,Industrials,,32678911132.0,,,Other,32573063994.0
TEVA,Teva Pharmaceutical Industries Limited American Depositary Shares,Health Care,PHARMACEUTICAL PREPARATIONS,30196475715.84,2834.0,PHARMACEUTICAL PREPARATIONS,Pharmaceuticals,32502513564.96
EXPE,"Expedia Group, Inc. Common Stock",Industrials,TRANSPORTATION SERVICES,31566826514.3,4700.0,TRANSPORTATION SERVICES,Other,32398822291.15
CRDO,Credo Technology Group Holding Ltd Ordinary Shares,Information Technology,SEMICONDUCTORS & RELATED DEVICES,28373007535.95,3674.0,SEMICONDUCTORS & RELATED DEVICES,Semiconductors,32322239797.86
RJF,"Raymond James Financial, Inc.",Industrials,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES",30631965064.75,6211.0,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES",Other,32291893059.27
CHT,"CHUNGHWA TELECOM CO., LTD",Industrials,,32511458491.05,,,Other,32170130842.85
KVUE,Kenvue Inc.,Energy,"PERFUMES, COSMETICS & OTHER TOILET PREPARATIONS",32990113367.4,2844.0,"PERFUMES, COSMETICS & OTHER TOILET PREPARATIONS",Other,32108844369.200005
LYV,Live Nation Entertainment Inc.,Consumer Discretionary,SERVICES-AMUSEMENT & RECREATION SERVICES,30431021819.35,7900.0,SERVICES-AMUSEMENT & RECREATION SERVICES,Other,32063452825.760002
KGC,Kinross Gold Corporation,Industrials,,33122824000.0,,,Other,31939866000.0
ERIC,Ericsson American Depositary Shares,Industrials,,31832887612.550003,,,Other,31899553345.77
ODFL,Old Dominion Freight Line,Industrials,TRUCKING (NO LOCAL),28209470405.49,4213.0,TRUCKING (NO LOCAL),Other,31716051227.52
BBDO,"Banco Bradesco S.A. American Depositary Shares (Each representing one  Common Share, no par value)",Industrials,,33634898249.04,,,Other,31519495843.44
CUK,Carnival PLC,Utilities,WATER TRANSPORTATION,30819598580.8,4400.0,WATER TRANSPORTATION,Other,31502435873.6
HPE,Hewlett Packard Enterprise Company,Information Technology,COMPUTER & OFFICE EQUIPMENT,28407759834.86,3570.0,COMPUTER & OFFICE EQUIPMENT,Other,31482078479.32
NRG,"NRG Energy, Inc.",Utilities,ELECTRIC SERVICES,32298905824.32,4911.0,ELECTRIC SERVICES,Other,31449943246.88
WDS,"Woodside Energy Group Limited American Depositary Shares, each representing one Ordinary Share",Industrials,,31273097352.35,,,Other,31292108353.780003
KB,KB Financial Group Inc,Industrials,,30770385810.75,,,Other,31221988279.5
IX,ORIX Corporation American Depositary Shares (each representing One (1) Share of Common Stock),Industrials,,30088521463.42,,,Other,30863836826.100002
HUM,Humana Inc.,Health Care,HOSPITAL & MEDICAL SERVICE PLANS,29585971997.32,6324.0,HOSPITAL & MEDICAL SERVICE PLANS,Health Care Providers & Services,30836811904.519997
FOXA,Fox Corporation Class A Common Stock,Communication Services,TELEVISION BROADCASTING STATIONS,28878474001.05,4833.0,TELEVISION BROADCASTING STATIONS,Other,30725275720.409996
VRSK,"Verisk Analytics, Inc. Common Stock",Information Technology,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,31204124697.3,7374.0,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,Other,30517017927.2
MTB,M&T Bank Corp.,Financials,STATE COMMERCIAL BANKS,29238134177.44,6022.0,STATE COMMERCIAL BANKS,Banks,30108023997.9
CIEN,Ciena Corporation,Communication Services,TELEPHONE & TELEGRAPH APPARATUS,28252087813.32,3661.0,TELEPHONE & TELEGRAPH APPARATUS,Other,30035034490.440002
FITB,Fifth Third Bancorp,Financials,STATE COMMERCIAL BANKS,28643069927.43,6022.0,STATE COMMERCIAL BANKS,Banks,29892444544.62
VICI,VICI Properties Inc. Common Stock,Financials,REAL ESTATE INVESTMENT TRUSTS,30813831825.93,6798.0,REAL ESTATE INVESTMENT TRUSTS,Asset Management & Custody,29841213478.320004
LEN,Lennar Corporation Class A,Industrials,GENERAL BLDG CONTRACTORS - RESIDENTIAL BLDGS,32422346184.72,1520.0,GENERAL BLDG CONTRACTORS - RESIDENTIAL BLDGS,Other,29811863253.789997
ALAB,"Astera Labs, Inc. Common Stock",Information Technology,SEMICONDUCTORS & RELATED DEVICES,26048315659.52,3674.0,SEMICONDUCTORS & RELATED DEVICES,Semiconductors,29683121475.84
WIT,Wipro Limited,Industrials,,28172177987.8,,,Other,29642155596.24
VOD,Vodafone Group PLC,Industrials,,29680452122.88,,,Other,29636884887.5
VIK,Viking Holdings Ltd,Industrials,,29495649245.94,,,Other,29579935204.08
AMRZ,Amrize Ltd,Industrials,"CEMENT, HYDRAULIC",27764719863.800003,3241.0,"CEMENT, HYDRAULIC",Other,29495866739.77
LPLA,LPL Financial Holdings Inc.,Industrials,"SECURITY & COMMODITY BROKERS, DEALERS, EXCHANGES & SERVICES",28310107277.62,6200.0,"SECURITY & COMMODITY BROKERS, DEALERS, EXCHANGES & SERVICES",Other,29493863707.0
ROL,"Rollins, Inc.",Industrials,SERVICES-TO DWELLINGS & OTHER BUILDINGS,29590759071.0,7340.0,SERVICES-TO DWELLINGS & OTHER BUILDINGS,Other,29128854539.16
K,Kellanova,Industrials,GRAIN MILL PRODUCTS,29087167784.4,2040.0,GRAIN MILL PRODUCTS,Other,29031498563.76
KHC,The Kraft Heinz Company Common Stock,Consumer Staples,"CANNED, FROZEN & PRESERVD FRUIT, VEG & FOOD SPECIALTIES",30301582822.4,2030.0,"CANNED, FROZEN & PRESERVD FRUIT, VEG & FOOD SPECIALTIES",Other,29011398241.29
SYF,SYNCHRONY FINANCIAL,Financials,FINANCE SERVICES,27715165991.1,6199.0,FINANCE SERVICES,Other,28734450198.44
TME,"Tencent Music Entertainment Group American Depositary Shares, each representing two Class A Ordinary Shares",Industrials,,27721108055.76,,,Other,28645658630.16
EXE,Expand Energy Corporation Common Stock,Energy,CRUDE PETROLEUM & NATURAL GAS,28287414912.69,1311.0,CRUDE PETROLEUM & NATURAL GAS,Other,28358865821.789997
MTD,Mettler-Toledo International,Industrials,LABORATORY ANALYTICAL INSTRUMENTS,30367904914.75,3826.0,LABORATORY ANALYTICAL INSTRUMENTS,Other,28219241069.649998
TSCO,Tractor Supply Co,Consumer Discretionary,"RETAIL-BUILDING MATERIALS, HARDWARE, GARDEN SUPPLY",28866688394.85,5200.0,"RETAIL-BUILDING MATERIALS, HARDWARE, GARDEN SUPPLY",Other,28185047757.300003
EME,"EMCOR Group, Inc.",Utilities,ELECTRICAL WORK,27339408462.08,1731.0,ELECTRICAL WORK,Other,28167576946.08
CSGP,CoStar Group Inc,Industrials,"SERVICES-BUSINESS SERVICES, NEC",28743661685.62,7389.0,"SERVICES-BUSINESS SERVICES, NEC",Other,28112165727.03
ADM,Archer Daniels Midland Company,Energy,FATS & OILS,29098497454.25,2070.0,FATS & OILS,Other,27844210445.899998
RKLB,Rocket Lab Corporation Common Stock,Industrials,GUIDED MISSILES & SPACE VEHICLES & PARTS,22397175042.69,3760.0,GUIDED MISSILES & SPACE VEHICLES & PARTS,Other,27541100529.48
DG,Dollar General Corp.,Consumer Discretionary,RETAIL-VARIETY STORES,23940932665.56,5331.0,RETAIL-VARIETY STORES,Other,27354172099.17
FOX,Fox Corporation Class B Common Stock,Communication Services,TELEVISION BROADCASTING STATIONS,25801950944.52,4833.0,TELEVISION BROADCASTING STATIONS,Other,27195931088.46
ATO,Atmos Energy Corporation,Energy,NATURAL GAS DISTRIBUTION,28415986868.640003,4924.0,NATURAL GAS DISTRIBUTION,Other,27014105645.52
DTE,DTE Energy Company,Utilities,ELECTRIC SERVICES,28406882381.36,4911.0,ELECTRIC SERVICES,Other,26998791560.0
AEE,Ameren Corporation,Utilities,ELECTRIC & OTHER SERVICES COMBINED,28677870994.32,4931.0,ELECTRIC & OTHER SERVICES COMBINED,Other,26865555057.12
HBAN,Huntington Bancshares Inc,Financials,NATIONAL COMMERCIAL BANKS,25466924612.52,6021.0,NATIONAL COMMERCIAL BANKS,Banks,26677165394.88
CQP,"Cheniere Energy Partners, LP",Energy,NATURAL GAS DISTRIBUTION,25964582697.72,4924.0,NATURAL GAS DISTRIBUTION,Other,26511562161.710003
BRO,"Brown & Brown, Inc.",Financials,"INSURANCE AGENTS, BROKERS & SERVICE",27467302555.5,6411.0,"INSURANCE AGENTS, BROKERS & SERVICE",Other,26507910135.6
BIIB,Biogen Inc. Common Stock,Health Care,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",26691011367.68,2836.0,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",Biotechnology,26470957959.68
BE,Bloom Energy Corporation,Industrials,ELECTRICAL INDUSTRIAL APPARATUS,23920697760.7,3620.0,ELECTRICAL INDUSTRIAL APPARATUS,Other,26439537301.45
ZM,"Zoom Communications, Inc. Class A Common Stock",Information Technology,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.",24999804812.67,7370.0,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.",Software,26379635328.210003
AXIA,AXIA Energia American Depositary Shares (Each representing one Common Share),Industrials,,26801916597.12,,,Other,26307250351.199997
DOV,Dover Corporation,Materials,"CONSTRUCTION, MINING & MATERIALS HANDLING MACHINERY & EQUIP",25536558590.37,3530.0,"CONSTRUCTION, MINING & MATERIALS HANDLING MACHINERY & EQUIP",Other,26234668495.44
ULTA,"Ulta Beauty, Inc. Common Stock",Consumer Discretionary,"RETAIL-RETAIL STORES, NEC",23995698878.24,5990.0,"RETAIL-RETAIL STORES, NEC",Other,26142627959.6
MKL,Markel Group Inc.,Financials,"FIRE, MARINE & CASUALTY INSURANCE",26258954087.5,6331.0,"FIRE, MARINE & CASUALTY INSURANCE",Other,26027934307.500004
FE,FirstEnergy Corp.,Utilities,ELECTRIC SERVICES,27358240684.8,4911.0,ELECTRIC SERVICES,Other,25850533586.25
EFX,"Equifax, Incorporated",Financials,"SERVICES-CONSUMER CREDIT REPORTING, COLLECTION AGENCIES",26033211669.9,7320.0,"SERVICES-CONSUMER CREDIT REPORTING, COLLECTION AGENCIES",Other,25738242040.73
SHG,Shinhan Financial Group Co Ltd,Industrials,,26242107899.17,,,Other,25707537523.54
STE,STERIS plc,Health Care,"ORTHOPEDIC, PROSTHETIC & SURGICAL APPLIANCES & SUPPLIES",26190529351.65,3842.0,"ORTHOPEDIC, PROSTHETIC & SURGICAL APPLIANCES & SUPPLIES",Other,25656609622.690002
DXCM,"DexCom, Inc.",Health Care,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,24387717488.16,3841.0,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,Other,25592867768.640003
FTS,Fortis Inc. Common Shares,Industrials,,26498122000.0,,,Other,25583348000.0
PHG,KONINKLIJKE PHILIPS  N.V.,Industrials,,26693980530.0,,,Other,25581335100.0
SATS,EchoStar Corporation,Industrials,"COMMUNICATIONS SERVICES, NEC",20404673207.2,4899.0,"COMMUNICATIONS SERVICES, NEC",Other,25407963561.9
